Param1,Param2,Param3,Error,Latency,Area,Power
0,0,0,0.1409571076350114,16.083,0.03,1.4369999999999998
0,0,1,0.1409571076350114,16.075,0.028,1.717
0,0,2,0.1409571076350114,0.02,15.129999999999999,1.4609999999999999
0,1,0,0.1409571076350114,16.075,0.028000000000000004,1.717
0,1,1,0.1409571076350114,16.067,0.026000000000000002,1.9969999999999999
0,1,2,0.1409571076350114,0.018000000000000002,15.122,1.741
0,2,0,0.1409571076350114,0.02,15.129999999999999,1.4609999999999999
0,2,1,0.1409571076350114,0.018000000000000002,15.122,1.741
0,2,2,0.1409571076350114,1.4849999999999999,14.177,0.01
1,0,0,0.1409571076350114,16.075,0.028000000000000004,1.717
1,0,1,0.1409571076350114,16.067,0.026000000000000002,1.9969999999999999
1,0,2,0.1409571076350114,0.018000000000000002,15.122,1.741
1,1,0,0.1409571076350114,16.067,0.026000000000000002,1.9969999999999999
1,1,1,0.1409571076350114,16.058999999999997,0.024,2.277
1,1,2,0.1409571076350114,0.016,15.114,2.021
1,2,0,0.1409571076350114,0.018000000000000002,15.122,1.741
1,2,1,0.1409571076350114,0.016,15.113999999999999,2.021
1,2,2,0.1409571076350114,0.008,14.169,1.7650000000000001
2,0,0,0.1409571076350114,0.02,15.129999999999999,1.4609999999999999
2,0,1,0.1409571076350114,0.018000000000000002,15.122,1.741
2,0,2,0.1409571076350114,1.4849999999999999,14.177,0.01
2,1,0,0.1409571076350114,0.018000000000000002,15.122,1.741
2,1,1,0.1409571076350114,0.016,15.113999999999999,2.021
2,1,2,0.1409571076350114,0.008,14.169,1.7650000000000001
2,2,0,0.1409571076350114,1.4849999999999999,14.177,0.01
2,2,1,0.1409571076350114,0.008,14.169,1.7650000000000001
2,2,2,0.1409571076350114,0.0,13.224,1.509
